DeviceTag: Xsens DOT13,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Custom Modes - Custom Mode 1,StartTime: 2026-05-07 16:06:53.931,© Movella Technologies B.V. 2005-2026
SampleTimeFine,Gyr_X,Gyr_Y,Gyr_Z,Quat_W,Quat_X,Quat_Y,Quat_Z,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
11215361,-0.3086,-0.4700,-0.3296,0.6581,0.0062,-0.0098,0.7528,-0.3758,-1.2766,97.6807,-0.0310,-0.0581,-0.2844
11215527,-0.3029,-0.3522,-0.2694,0.6582,0.0062,-0.0098,0.7528,-0.3790,-1.2800,97.6754,-0.0349,-0.0610,-0.2746
11215694,-0.2779,-0.3939,-0.3075,0.6581,0.0062,-0.0099,0.7528,-0.3817,-1.2840,97.6823,-0.0313,-0.0415,-0.2953
11215861,-0.2893,-0.3653,-0.2789,0.6580,0.0063,-0.0099,0.7529,-0.3847,-1.2875,97.6996,-0.0294,-0.0488,-0.2677
11216027,-0.2681,-0.4210,-0.4177,0.6580,0.0063,-0.0100,0.7529,-0.3872,-1.2920,97.6981,-0.0449,-0.0857,-0.2976
11216194,-0.3718,-0.3678,-0.3078,0.6580,0.0063,-0.0100,0.7529,-0.3914,-1.2955,97.6980,-0.0403,-0.0790,-0.3112
11216361,-0.2994,-0.4845,-0.3594,0.6580,0.0063,-0.0101,0.7529,-0.3943,-1.3009,97.7044,-0.0357,-0.0484,-0.2787
11216527,-0.3513,-0.4215,-0.3180,0.6579,0.0063,-0.0101,0.7530,-0.3982,-1.3052,97.7197,-0.0143,-0.0524,-0.2860
11216694,-0.3597,-0.4455,-0.3172,0.6577,0.0063,-0.0102,0.7532,-0.4021,-1.3099,97.7432,-0.0203,-0.0575,-0.3051
11216861,-0.3032,-0.4341,-0.3233,0.6577,0.0063,-0.0102,0.7532,-0.4051,-1.3144,97.7447,-0.0622,-0.0811,-0.2732
11217027,-0.2961,-0.3979,-0.3275,0.6575,0.0063,-0.0102,0.7534,-0.4079,-1.3183,97.7799,-0.0646,-0.0720,-0.2950
11217194,-0.2838,-0.3920,-0.3268,0.6575,0.0063,-0.0103,0.7534,-0.4105,-1.3220,97.7815,-0.0289,-0.0665,-0.2959
11217361,-0.3348,-0.3463,-0.3120,0.6575,0.0063,-0.0103,0.7534,-0.4139,-1.3249,97.7807,-0.0074,-0.0620,-0.2766
11217527,-0.2693,-0.4404,-0.3109,0.6574,0.0064,-0.0104,0.7535,-0.4161,-1.3293,97.7970,-0.0067,-0.0632,-0.2841
11217694,-0.2859,-0.3864,-0.3458,0.6573,0.0064,-0.0104,0.7535,-0.4187,-1.3328,97.8067,-0.0497,-0.0671,-0.2792
11217861,-0.3295,-0.3734,-0.2344,0.6571,0.0064,-0.0104,0.7537,-0.4220,-1.3361,97.8345,-0.0769,-0.0679,-0.2830
11218027,-0.3042,-0.3855,-0.3510,0.6570,0.0064,-0.0105,0.7538,-0.4248,-1.3395,97.8529,-0.0461,-0.0757,-0.2744
11218194,-0.3781,-0.3635,-0.3172,0.6570,0.0064,-0.0105,0.7538,-0.4287,-1.3425,97.8595,-0.0258,-0.0548,-0.2938
11218361,-0.3056,-0.3964,-0.2532,0.6568,0.0064,-0.0106,0.7539,-0.4315,-1.3460,97.8777,-0.0205,-0.0604,-0.2959
11218527,-0.3749,-0.3201,-0.3385,0.6568,0.0064,-0.0106,0.7539,-0.4353,-1.3483,97.8824,-0.0603,-0.0707,-0.2687
11218694,-0.2792,-0.3319,-0.2441,0.6567,0.0064,-0.0106,0.7540,-0.4376,-1.3507,97.8961,-0.0634,-0.0657,-0.2955
11218861,-0.3601,-0.3897,-0.3850,0.6567,0.0064,-0.0107,0.7541,-0.4411,-1.3540,97.9075,-0.0364,-0.0770,-0.2792
11219027,-0.3371,-0.4043,-0.3200,0.6566,0.0064,-0.0107,0.7541,-0.4442,-1.3575,97.9178,-0.0050,-0.0781,-0.2904
11219194,-0.3428,-0.4788,-0.2392,0.6565,0.0064,-0.0107,0.7542,-0.4474,-1.3622,97.9329,-0.0150,-0.0670,-0.2876
11219361,-0.3247,-0.3750,-0.3051,0.6565,0.0064,-0.0108,0.7543,-0.4503,-1.3652,97.9370,-0.0586,-0.0860,-0.2886
11219527,-0.2991,-0.3230,-0.3446,0.6564,0.0064,-0.0108,0.7543,-0.4527,-1.3672,97.9468,-0.0510,-0.0898,-0.2871
11219694,-0.2873,-0.4700,-0.3070,0.6563,0.0064,-0.0109,0.7544,-0.4549,-1.3716,97.9621,-0.0324,-0.0848,-0.2942
11219861,-0.3657,-0.5057,-0.2729,0.6563,0.0064,-0.0109,0.7544,-0.4584,-1.3765,97.9603,-0.0382,-0.0593,-0.2890
11220027,-0.2837,-0.3994,-0.3713,0.6563,0.0064,-0.0109,0.7544,-0.4604,-1.3796,97.9609,-0.0643,-0.0513,-0.2523
11220194,-0.2916,-0.3721,-0.3548,0.6563,0.0065,-0.0110,0.7544,-0.4625,-1.3823,97.9655,-0.0575,-0.0792,-0.2567
11220361,-0.3821,-0.4906,-0.3550,0.6563,0.0065,-0.0110,0.7544,-0.4661,-1.3869,97.9648,-0.0544,-0.0757,-0.3147
11220527,-0.2933,-0.3692,-0.3314,0.6562,0.0065,-0.0110,0.7545,-0.4681,-1.3894,97.9832,-0.0485,-0.0630,-0.2513
11220694,-0.3268,-0.2938,-0.3780,0.6561,0.0065,-0.0111,0.7546,-0.4707,-1.3907,97.9891,-0.0336,-0.0600,-0.2512
11220861,-0.2893,-0.3035,-0.2826,0.6560,0.0065,-0.0111,0.7546,-0.4726,-1.3921,98.0039,-0.0433,-0.0945,-0.3146
11221027,-0.3245,-0.4471,-0.3066,0.6560,0.0065,-0.0111,0.7546,-0.4751,-1.3958,98.0056,-0.0599,-0.1165,-0.2906
11221194,-0.2798,-0.3140,-0.3125,0.6560,0.0065,-0.0111,0.7546,-0.4768,-1.3972,98.0042,-0.0579,-0.0881,-0.2635
11221361,-0.3599,-0.3627,-0.2580,0.6559,0.0065,-0.0112,0.7547,-0.4797,-1.3993,98.0209,-0.0535,-0.0625,-0.2926
11221527,-0.3503,-0.4129,-0.3453,0.6559,0.0065,-0.0112,0.7548,-0.4825,-1.4022,98.0278,-0.0270,-0.0824,-0.2592
11221694,-0.3300,-0.3995,-0.3276,0.6558,0.0065,-0.0112,0.7548,-0.4849,-1.4049,98.0369,-0.0574,-0.0877,-0.2927
11221861,-0.3303,-0.4252,-0.3425,0.6558,0.0065,-0.0113,0.7549,-0.4872,-1.4080,98.0429,-0.0525,-0.0860,-0.3037
11222027,-0.3779,-0.3444,-0.3735,0.6557,0.0065,-0.0113,0.7549,-0.4902,-1.4096,98.0521,-0.0602,-0.0873,-0.2866
11222194,-0.3894,-0.3608,-0.2436,0.6557,0.0065,-0.0113,0.7549,-0.4935,-1.4115,98.0559,-0.0297,-0.0948,-0.2695
11222361,-0.2725,-0.4286,-0.2932,0.6556,0.0065,-0.0114,0.7550,-0.4948,-1.4144,98.0635,-0.0278,-0.0758,-0.2834
11222527,-0.3240,-0.4020,-0.3366,0.6555,0.0065,-0.0114,0.7550,-0.4969,-1.4169,98.0752,-0.0519,-0.0822,-0.2882
11222694,-0.3608,-0.3467,-0.3002,0.6563,0.0055,-0.0061,0.7545,-0.1139,-0.9370,97.9630,-0.0158,0.0146,-0.2570
11222861,-0.3759,-0.4216,-0.3158,0.6563,0.0055,-0.0061,0.7545,-0.1150,-0.9375,97.9627,0.0138,0.0076,-0.2858
11223027,-0.3750,-0.3612,-0.3059,0.6563,0.0055,-0.0061,0.7544,-0.1161,-0.9370,97.9558,0.0066,0.0055,-0.2793
11223194,-0.2962,-0.4374,-0.2661,0.6563,0.0055,-0.0061,0.7545,-0.1159,-0.9378,97.9613,-0.0026,0.0210,-0.2988
11223361,-0.3046,-0.4764,-0.3798,0.6563,0.0055,-0.0061,0.7545,-0.1157,-0.9393,97.9609,-0.0105,0.0040,-0.2997
11223527,-0.3617,-0.4220,-0.3616,0.6563,0.0055,-0.0062,0.7545,-0.1166,-0.9398,97.9608,-0.0110,-0.0030,-0.3021
11223694,-0.2772,-0.4440,-0.3105,0.6563,0.0055,-0.0062,0.7545,-0.1160,-0.9407,97.9614,0.0056,0.0074,-0.2869
11223861,-0.2865,-0.4074,-0.3509,0.6563,0.0055,-0.0062,0.7545,-0.1156,-0.9410,97.9614,0.0068,-0.0046,-0.2854
11224027,-0.3850,-0.4429,-0.3612,0.6563,0.0055,-0.0062,0.7545,-0.1168,-0.9419,97.9613,0.0003,0.0274,-0.2851
11224194,-0.3398,-0.4874,-0.3506,0.6563,0.0055,-0.0062,0.7545,-0.1173,-0.9435,97.9613,0.0046,-0.0033,-0.3001
11224361,-0.2992,-0.3815,-0.3128,0.6563,0.0055,-0.0062,0.7545,-0.1171,-0.9433,97.9620,-0.0008,-0.0040,-0.3103
11224527,-0.2900,-0.4741,-0.2829,0.6563,0.0056,-0.0062,0.7545,-0.1168,-0.9447,97.9631,0.0127,0.0130,-0.2913
11224694,-0.3105,-0.3988,-0.3473,0.6563,0.0056,-0.0062,0.7545,-0.1167,-0.9449,97.9631,0.0181,0.0058,-0.2982
11224861,-0.2635,-0.4250,-0.2978,0.6563,0.0056,-0.0062,0.7545,-0.1160,-0.9454,97.9640,0.0003,0.0003,-0.3127
11225027,-0.3046,-0.4802,-0.3156,0.6563,0.0056,-0.0062,0.7545,-0.1159,-0.9469,97.9646,-0.0031,-0.0007,-0.2858
11225194,-0.4029,-0.3257,-0.4167,0.6563,0.0056,-0.0062,0.7545,-0.1174,-0.9459,97.9634,-0.0008,0.0047,-0.3032
11225361,-0.3158,-0.3141,-0.3041,0.6563,0.0055,-0.0062,0.7545,-0.1174,-0.9446,97.9641,0.0085,0.0061,-0.2867
11225527,-0.3615,-0.3582,-0.2731,0.6563,0.0055,-0.0062,0.7545,-0.1183,-0.9440,97.9654,-0.0034,0.0196,-0.2712
11225694,-0.3562,-0.4662,-0.3446,0.6563,0.0055,-0.0062,0.7545,-0.1190,-0.9453,97.9617,0.0027,-0.0127,-0.2926
11225861,-0.3369,-0.4603,-0.3009,0.6563,0.0055,-0.0062,0.7545,-0.1194,-0.9465,97.9625,-0.0059,-0.0127,-0.2962
11226027,-0.3577,-0.4249,-0.3118,0.6563,0.0055,-0.0062,0.7545,-0.1202,-0.9470,97.9631,0.0046,0.0071,-0.2695
11226194,-0.3148,-0.4419,-0.3373,0.6563,0.0056,-0.0062,0.7545,-0.1202,-0.9479,97.9632,0.0121,0.0137,-0.2866
11226361,-0.3270,-0.3751,-0.3762,0.6563,0.0055,-0.0062,0.7545,-0.1205,-0.9476,97.9628,0.0207,-0.0037,-0.2859
11226527,-0.2586,-0.3810,-0.3457,0.6563,0.0056,-0.0062,0.7545,-0.1196,-0.9474,97.9628,-0.0078,-0.0029,-0.2963
11226694,-0.3001,-0.4590,-0.2800,0.6563,0.0056,-0.0062,0.7545,-0.1194,-0.9485,97.9639,-0.0071,-0.0105,-0.2819
11226861,-0.3126,-0.4979,-0.4095,0.6563,0.0056,-0.0062,0.7545,-0.1194,-0.9503,97.9628,0.0085,0.0000,-0.2527
11227027,-0.2990,-0.4273,-0.3406,0.6563,0.0056,-0.0062,0.7545,-0.1192,-0.9509,97.9629,0.0034,0.0186,-0.2808
11227194,-0.3379,-0.3275,-0.3434,0.6563,0.0056,-0.0062,0.7545,-0.1196,-0.9498,97.9629,-0.0009,-0.0093,-0.2764
11227361,-0.3274,-0.4716,-0.3899,0.6563,0.0056,-0.0062,0.7545,-0.1198,-0.9512,97.9622,-0.0032,-0.0058,-0.2695
11227527,-0.2935,-0.3189,-0.3779,0.6563,0.0056,-0.0062,0.7545,-0.1195,-0.9499,97.9616,0.0042,-0.0032,-0.2864
11227694,-0.3649,-0.4582,-0.3348,0.6563,0.0056,-0.0062,0.7544,-0.1203,-0.9510,97.9563,-0.0002,-0.0102,-0.2938
11227861,-0.3046,-0.3214,-0.2901,0.6563,0.0056,-0.0062,0.7544,-0.1202,-0.9499,97.9571,0.0086,0.0057,-0.2673
11228028,-0.3265,-0.3642,-0.2775,0.6563,0.0056,-0.0062,0.7544,-0.1205,-0.9494,97.9582,-0.0105,0.0046,-0.3044
11228194,-0.3578,-0.3709,-0.3226,0.6563,0.0056,-0.0062,0.7544,-0.1212,-0.9490,97.9585,0.0057,-0.0088,-0.2634
11228361,-0.3192,-0.4470,-0.3008,0.6563,0.0056,-0.0062,0.7544,-0.1213,-0.9499,97.9592,-0.0036,-0.0008,-0.2938
11228528,-0.3079,-0.4496,-0.3298,0.6563,0.0056,-0.0062,0.7544,-0.1212,-0.9509,97.9593,0.0019,0.0037,-0.2690
11228694,-0.3099,-0.2626,-0.2644,0.6563,0.0056,-0.0062,0.7545,-0.1212,-0.9487,97.9606,-0.0119,-0.0045,-0.2698
11228861,-0.2549,-0.3570,-0.3462,0.6563,0.0056,-0.0062,0.7545,-0.1202,-0.9481,97.9605,-0.0000,-0.0014,-0.2666
11229028,-0.3238,-0.3128,-0.3496,0.6563,0.0055,-0.0062,0.7545,-0.1204,-0.9468,97.9603,-0.0012,-0.0045,-0.2747
11229194,-0.3621,-0.4120,-0.3004,0.6563,0.0055,-0.0062,0.7545,-0.1212,-0.9471,97.9610,-0.0136,0.0130,-0.2698
11229361,-0.2706,-0.4441,-0.3484,0.6563,0.0056,-0.0062,0.7545,-0.1204,-0.9479,97.9608,-0.0033,-0.0066,-0.2891
